id,jun,jul,ago,set,out,nov,dez,jan
4057306,210.0,0.0,2730.0,900.0,0.0,2500.0,6140.0,10200.0
4059628,0.0,0.0,650.0,8450.0,0.0,594.0,2450.0,6385.0
4075739,0.0,0.0,0.0,1400.0,1120.0,1800.0,3740.0,10990.0
4097440,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,27200.0
4105310,0.0,0.0,0.0,0.0,0.0,3850.0,9450.0,8320.0
4108729,0.0,2550.0,0.0,0.0,180.0,0.0,8730.0,1400.0
4122016,42.0,798.0,42.0,924.0,210.0,0.0,1333.0,1690.0
4132628,828.0,414.0,7038.0,3598.0,12420.0,12006.0,20400.0,27100.0
4139727,0.0,0.0,0.0,0.0,0.0,0.0,900.0,6450.0
4140705,340.0,640.0,50.0,1160.0,1487.0,2059.0,3350.0,5490.0
4148993,4392.0,2960.0,3700.0,4070.0,11470.0,7770.0,8785.0,11375.0
4160764,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,9700.0
4234722,0.0,0.0,0.0,0.0,0.0,575.0,5540.0,7330.0
4243873,322.0,1013.0,1770.0,1651.0,0.0,1873.0,3018.0,7626.0
4245154,0.0,0.0,0.0,0.0,0.0,1400.0,2155.0,4385.0
4270534,0.0,0.0,0.0,1750.0,8000.0,0.0,4700.0,0.0
4272608,0.0,0.0,0.0,0.0,0.0,5244.0,7878.0,9207.0
4278297,0.0,0.0,0.0,360.0,900.0,0.0,1400.0,0.0
4278450,0.0,0.0,0.0,0.0,0.0,3150.0,15900.0,27900.0
4283388,0.0,0.0,0.0,0.0,0.0,3510.0,19790.0,24200.0
4293449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4310566,500.0,550.0,2800.0,0.0,0.0,2900.0,1600.0,0.0
4314949,1146.0,416.0,7072.0,5792.0,12636.0,13964.0,7422.0,17416.0
4316275,0.0,0.0,0.0,0.0,2200.0,12650.0,12400.0,13600.0
4322831,290.0,1020.0,4480.0,1200.0,550.0,8872.0,5330.0,0.0
4322958,0.0,0.0,300.0,0.0,0.0,0.0,900.0,1900.0
4330220,220.0,770.0,910.0,210.0,0.0,1570.0,2960.0,2890.0
4330674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4334502,801.0,356.0,1782.0,968.0,616.0,0.0,968.0,0.0
4364586,0.0,0.0,0.0,0.0,0.0,0.0,6472.0,21034.0
4371558,0.0,0.0,0.0,0.0,0.0,0.0,1697.0,8501.0
4374944,200.0,800.0,2300.0,2800.0,1400.0,3260.0,5530.0,9240.0
4378292,760.0,0.0,4760.0,2040.0,10900.0,8760.0,10590.0,15380.0
4386347,250.0,0.0,2750.0,750.0,0.0,2680.0,6050.0,12900.0
4387101,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,1800.0
4396164,1317.0,1480.0,1196.0,2990.0,4784.0,9074.0,15988.0,27947.0
4400493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0
4402951,4591.0,2690.0,4000.0,960.0,0.0,2188.0,6948.0,6526.0
4406649,0.0,0.0,0.0,0.0,0.0,0.0,5350.0,8250.0
4417459,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
4423875,0.0,0.0,0.0,2372.0,4665.0,2860.0,3430.0,10470.0
4438905,1544.0,432.0,432.0,2026.0,3248.0,2230.0,2489.0,4953.0
4439461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6259.0
4464468,0.0,0.0,0.0,0.0,0.0,6545.0,7735.0,0.0
4468712,0.0,0.0,0.0,0.0,0.0,8000.0,24600.0,28600.0
4474379,570.0,360.0,180.0,540.0,0.0,630.0,1670.0,5860.0
4480945,0.0,0.0,0.0,0.0,0.0,1600.0,7760.0,14910.0
4481971,0.0,0.0,0.0,130.0,715.0,522.0,3269.0,4380.0
4487693,2400.0,2590.0,1595.0,2440.0,2698.0,7050.0,0.0,0.0
